ric,ticker,isin,exchange_name,coverage_role
ROSE.OQ,ROSE,,
ROST.OQ,ROST,US7782961038,Nasdaq Stock Exchange Global Select Market
RPAY.OQ,RPAY,US76029L1008,NASDAQ Stock Exchange Capital Market
RPB.PH,RPB,,
RPC.N,RPC,US69376K1060,New York Stock Exchange
RPD.OQ,RPD,US7534221046,NASDAQ Stock Exchange Global Market
RPID.OQ,RPID,US75340L1044,NASDAQ Stock Exchange Capital Market
RPM.N,RPM,US7496851038,New York Stock Exchange
RPRX.OQ,RPRX,GB00BMVP7Y09,Nasdaq Stock Exchange Global Select Market
RPT.N,RPT,US38983D8544,New York Stock Exchange
RPTP.OQ,RPTP,,
RPXC.OQ,RPXC,,
RR.OQ,RR,US7655041058,NASDAQ Stock Exchange Capital Market
RRBI.OQ,RRBI,US75686R2022,Nasdaq Stock Exchange Global Select Market
RRC.N,RRC,US75281A1097,New York Stock Exchange
RRGB.OQ,RRGB,US75689M1018,Nasdaq Stock Exchange Global Select Market
RRR.OQ,RRR,US75700L1089,Nasdaq Stock Exchange Global Select Market
RRTS.N,RRTS,,
RRX.N,RRX,US7587501039,New York Stock Exchange
RS.N,RS,US7595091023,New York Stock Exchange
RSE.N,RSE,,
RSG.N,RSG,US7607591002,New York Stock Exchange
RSH.N,RSH,,
RSI.N,RSI,US7820111000,New York Stock Exchange
RST.N,RST,,
RSTIDE.INS,RSTIDE,,
RSTIN.BCU,RSTIN,US7750431022,BATS Europe
RSVR.OQ,RSVR,US76119X1054,NASDAQ Stock Exchange Global Market
RT.PH,RT,,
RTI.B,RTI,,
RTI.N,RTI,,
RTK.C,RTK,,
RTK.OQ,RTK,,
RTN^D20,RTN^D20,US7551115071,New York Consolidated
RTSX.OQ,RTSX,,
RTW.N,RTW,,
RTX.N,RTX,US75513E1010,New York Stock Exchange
RUE.OQ,RUE,,
RUM.OQ,RUM,US78137L1052,NASDAQ Stock Exchange Global Market
RUN.OQ,RUN,US86771W1053,Nasdaq Stock Exchange Global Select Market
RUS.B,RUS,,
RUSHA.OQ,RUSHA,US7818462092,Nasdaq Stock Exchange Global Select Market
RUSHB.OQ,RUSHB,US7818463082,Nasdaq Stock Exchange Global Select Market
RVBD.OQ,RVBD,,
RVLPQ.PK,RVLPQ,IE00BF2HDL56,USA Pink Sheets
RVLT.OQ,RVLT,,
RVLV.N,RVLV,US76156B1070,New York Stock Exchange
RVM,RVM,,
RVMD.OQ,RVMD,US76155X1000,Nasdaq Stock Exchange Global Select Market
RVP.A,RVP,US76129W1053,American Stock Exchange
RVSB.OQ,RVSB,US7693971001,Nasdaq Stock Exchange Global Select Market
RVTY.K,RVTY,US7140461093,New York Consolidated
RWT.N,RWT,US7580754023,New York Stock Exchange
RX.II,RX,,
RXO.N,RXO,US74982T1034,New York Stock Exchange
RXRX.OQ,RXRX,US75629V1044,Nasdaq Stock Exchange Global Select Market
RXST.OQ,RXST,US78349D1072,NASDAQ Stock Exchange Global Market
RXT.OQ,RXT,US7501021056,Nasdaq Stock Exchange Global Select Market
RYAAY.OQ,RYAAY,US7835132033,Nasdaq Stock Exchange Global Select Market
RYAM.N,RYAM,US75508B1044,New York Stock Exchange
RYAN.N,RYAN,US78351F1075,New York Stock Exchange
RYL.N,RYL,,
RYN.N,RYN,US7549071030,New York Stock Exchange
RYTM.OQ,RYTM,US76243J1051,NASDAQ Stock Exchange Global Market
RYZ.N,RYZ,US7837541041,New York Stock Exchange
RZLT.OQ,RZLT,US76200L3096,NASDAQ Stock Exchange Capital Market
RZLV.OQ,RZLV,GB00BQH8G337,NASDAQ Stock Exchange Global Market
S.II,S,,
S.N,S,US81730H1095,New York Stock Exchange
S9QF.TRE,S9QF,US8485741099,London Stock Exchange
SAAS.OQ,SAAS,,
SABA.OQ,SABA,,
SABR.OQ,SABR,US78573M1045,Nasdaq Stock Exchange Global Select Market
SAFE.N,SAFE,US78646V1070,New York Stock Exchange
SAFT.OQ,SAFT,US78648T1007,Nasdaq Stock Exchange Global Select Market
SAFX.OQ,SAFX,US98400U1034,NASDAQ Stock Exchange Capital Market
SAH.N,SAH,US83545G1022,New York Stock Exchange
SAIA.OQ,SAIA,US78709Y1055,Nasdaq Stock Exchange Global Select Market
SAIC.OQ,SAIC,US8086251076,Nasdaq Stock Exchange Global Select Market
SALE.OQ,SALE,,
SALM.PK,SALM,US7940931048,USA Pink Sheets
SAM.N,SAM,US1005571070,New York Stock Exchange
SAMG.OQ,SAMG,US8283591092,NASDAQ Stock Exchange Global Market
SANA.OQ,SANA,US7995661045,Nasdaq Stock Exchange Global Select Market
SANM.OQ,SANM,US8010561020,Nasdaq Stock Exchange Global Select Market
SAPE.OQ,SAPE,,
SARA.A,SARA,,
SARO.N,SARO,US85423L1035,New York Stock Exchange
SATL.OQ,SATL,US80401C1009,NASDAQ Stock Exchange Capital Market
SATS.OQ,SATS,US2787681061,Nasdaq Stock Exchange Global Select Market
SAVA.OQ,SAVA,US14817C1071,
SB.N,SB,MHY7388L1039,New York Stock Exchange
SBAC.OQ,SBAC,US78410G1040,Nasdaq Stock Exchange Global Select Market
SBBX.OQ,SBBX,,
SBC.OQ,SBC,US73245B1070,NASDAQ Stock Exchange Global Market
SBCF.OQ,SBCF,US8117078019,Nasdaq Stock Exchange Global Select Market
SBFG.OQ,SBFG,US78408D1054,NASDAQ Stock Exchange Capital Market
SBGI.OQ,SBGI,US8292421067,Nasdaq Stock Exchange Global Select Market
SBH.N,SBH,US79546E1047,New York Stock Exchange
SBIB.OQ,SBIB,,
SBKC.O,SBKC,,
SBNY.PK,SBNY,US82669G1040,USA Pink Sheets
SBP.B,SBP,,
SBRA.OQ,SBRA,US78573L1061,Nasdaq Stock Exchange Global Select Market
SBSI.N,SBSI,US84470P1093,New York Stock Exchange
SBT.OQ^D25,SBT,US85917W1027,NASDAQ Stock Exchange Capital Market
SBUX.OQ,SBUX,US8552441094,Nasdaq Stock Exchange Global Select Market
SBX.N,SBX,,
SBY.N,SBY,,
SCA.C,SCA,US8585683068,
SCAI.OQ,SCAI,,
SCG^A19,SCG^A19,US80589M1027,New York Consolidated
SCHL.OQ,SCHL,US8070661058,Nasdaq Stock Exchange Global Select Market
SCHS.OQ,SCHS,,
SCHW.N,SCHW,US8085131055,New York Stock Exchange
SCI.N,SCI,US8175651046,New York Stock Exchange
SCL.N,SCL,US8585861003,New York Stock Exchange
SCLN.OQ,SCLN,,
SCMP.OQ,SCMP,,
SCMR.OQ,SCMR,,
SCMRDE.INS,SCMRDE,,
SCNB.N,SCNB,,
SCOR.OQ,SCOR,US20564W2044,Nasdaq Stock Exchange Global Select Market
SCRX.OQ,SCRX,,
SCSC.OQ,SCSC,US8060371072,Nasdaq Stock Exchange Global Select Market
SCT.B,SCT,US0609003217,
SCURDE.INS,SCURDE,,
SCVL.OQ,SCVL,US8248891090,Nasdaq Stock Exchange Global Select Market
SD.N,SD,US80007P8692,New York Stock Exchange
SDGR.OQ,SDGR,US80810D1037,Nasdaq Stock Exchange Global Select Market
SDRL.N,SDRL,BMG7997W1029,New York Stock Exchange
SDTH.OQ,SDTH,,
SDXC.O,SDXC,,
SE.N,SE,US81141R1005,New York Stock Exchange
SEA.PH,SEA,US26922B8651,NASDAQ OMX PSX  SE
SEAB.OQ,SEAB,,
SEAT.OQ,SEAT,US92854T2096,Nasdaq Stock Exchange Global Select Market
SEB.A,SEB,US8115431079,American Stock Exchange
SEE.II,SEE,,
SEE.N,SEE,US81211K1007,New York Stock Exchange
SEER.OQ,SEER,US81578P1066,Nasdaq Stock Exchange Global Select Market
SEG.N,SEG,US8122152007,New York Stock Exchange
SEI.N,SEI,US83418M1036,New York Stock Exchange
SEIC.OQ,SEIC,US7841171033,Nasdaq Stock Exchange Global Select Market
SEM.N,SEM,US81619Q1058,New York Stock Exchange
SEMR.N,SEMR,US81686C1045,New York Stock Exchange
SEN.C,SEN,,
SENEA.OQ,SENEA,US8170705011,Nasdaq Stock Exchange Global Select Market
SEPN.OQ,SEPN,US81734D1046,NASDAQ Stock Exchange Global Market
SEPR.O^J09,SEPR,US8173151049,Consolidated Issue Listed on Nasdaq Global Select Market
SERA.OQ,SERA,US81749D1072,NASDAQ Stock Exchange Global Market
SERV.OQ,SERV,US81758H1068,NASDAQ Stock Exchange Capital Market
SEVN.OQ,SEVN,US81784E1010,NASDAQ Stock Exchange Capital Market
SEZL.OQ,SEZL,US78435P1057,NASDAQ Stock Exchange Capital Market
SF.N,SF,US8606301021,New York Stock Exchange
SFBC.OQ,SFBC,US83607A1007,NASDAQ Stock Exchange Capital Market
SFBS.N,SFBS,US81768T1088,New York Stock Exchange
SFC.B,SFC,,
SFD^I13,SFD,US8322481081,New York Consolidated
SFEDE.INS,SFEDE,,
SFG.N,SFG,,
SFIX.OQ,SFIX,US8608971078,Nasdaq Stock Exchange Global Select Market
SFL.N,SFL,BMG7738W1064,New York Stock Exchange
SFLY.O,SFLY,,
SFM.OQ,SFM,US85208M1027,Nasdaq Stock Exchange Global Select Market
SFNC.OQ,SFNC,US8287302009,Nasdaq Stock Exchange Global Select Market
SFR.N,SFR,,
SFS.N,SFS,,
SFST.OQ,SFST,US8428731017,NASDAQ Stock Exchange Global Market
SFXE.OQ,SFXE,,
SG.N,SG,US87043Q1085,New York Stock Exchange
SGA.OQ,SGA,US7865983008,NASDAQ Stock Exchange Global Market
SGBK.OQ,SGBK,,
SGC.OQ,SGC,US8683581024,NASDAQ Stock Exchange Global Market
SGHC.N,SGHC,GG00BMG42V42,New York Stock Exchange
SGHT.OQ,SGHT,US82657M1053,Nasdaq Stock Exchange Global Select Market
SGI.N,SGI,US88023U1016,New York Stock Exchange
SGI.OQ,SGI,,
SGIC.OQ,SGIC,,
SGK.C,SGK,,
SGK.N,SGK,,
SGM.N,SGM,,
SGMO.OQ,SGMO,US8006771062,NASDAQ Stock Exchange Capital Market
SGNT.OQ,SGNT,,
SGP^K09,SGP,US8066051017,New York Consolidated
SGR.N,SGR,,
SGRY.OQ,SGRY,US86881A1007,Nasdaq Stock Exchange Global Select Market
SGY.B,SGY,,
SGY.N,SGY,,
SHAK.N,SHAK,US8190471016,New York Stock Exchange
SHAW.K^B13,SHAW,US8202801051,New York Consolidated
SHBI.OQ,SHBI,US8251071051,Nasdaq Stock Exchange Global Select Market
SHC.OQ,SHC,US83601L1026,Nasdaq Stock Exchange Global Select Market
SHEN.OQ,SHEN,US82312B1061,Nasdaq Stock Exchange Global Select Market
SHFL.OQ,SHFL,,
SHLD.II,SHLD,US8124JFAP15,
SHLS.OQ,SHLS,US82489W1071,NASDAQ Stock Exchange Global Market
SHO.N,SHO,US8678921011,New York Stock Exchange
SHOO.OQ,SHOO,US5562691080,Nasdaq Stock Exchange Global Select Market
SHOP.OQ,SHOP,CA82509L1076,Nasdaq Stock Exchange Global Select Market
SHOR.OQ,SHOR,,
SHOS.OQ,SHOS,,
SHPG.O^A19,SHPG,US82481R1068,Consolidated Issue Listed on Nasdaq Global Select Market
SHS.PH,SHS,,
SHW.II,SHW,,
SHW.N,SHW,US8243481061,New York Stock Exchange
SI.N,SI,US82537J1088,New York Stock Exchange
SIAL.O^K15,SIAL,US8265521018,Consolidated Issue Listed on Nasdaq Global Select Market
SIALF.INS,SIALF,,
SIBN.OQ,SIBN,US8257041090,NASDAQ Stock Exchange Global Market
SICPQ.PK,SICPQ,US82837P4081,USA Pink Sheets
SIEB.OQ,SIEB,US8261761097,NASDAQ Stock Exchange Capital Market
SIF.A,SIF,US8265461033,American Stock Exchange
SIFI.OQ,SIFI,,
SIG.N,SIG,BMG812761002,New York Stock Exchange
SIGA.OQ,SIGA,US8269171067,NASDAQ Stock Exchange Global Market
SIGI.OQ,SIGI,US8163001071,Nasdaq Stock Exchange Global Select Market
SIGM.OQ,SIGM,,
SII.II,SII,,
SILA.N,SILA,US1462805086,New York Stock Exchange
SILC.O,SILC,IL0010826928,Consolidated Issue Listed on Nasdaq Global Select Market
SIMG.OQ,SIMG,,
SION.OQ,SION,US8294011080,NASDAQ Stock Exchange Global Market
SIRF.OQ,SIRF,,
SIRI.OQ,SIRI,US8299331004,Nasdaq Stock Exchange Global Select Market
SIRO.OQ,SIRO,,
SIRT.OQ,SIRT,,
SITC.N,SITC,US82981J8514,New York Stock Exchange
SITE.N,SITE,US82982L1035,New York Stock Exchange
SITM.O,SITM,US82982T1060,NASDAQ National Market System
SIXD.OQ,SIXD,,
SJM.N,SJM,US8326964058,New York Stock Exchange
SKIL.N,SKIL,US83066P3091,New York Stock Exchange
SKIN.OQ,SKIN,US88331L1089,NASDAQ Stock Exchange Capital Market
SKS^K13,SKS,US79377W1080,New York Consolidated
SKT.N,SKT,US8754651060,New York Stock Exchange
SKUL.OQ,SKUL,,
SKWD.OQ,SKWD,US8309401029,Nasdaq Stock Exchange Global Select Market
SKX.MX,SKX*,US8305661055,Bolsa Mexicana de Valores S.A. de C.V.
SKY.N,SKY,US8308301055,New York Stock Exchange
SKYH.N,SKYH,US83085C1071,New York Stock Exchange
SKYT.OQ,SKYT,US83089J1088,NASDAQ Stock Exchange Capital Market
SKYW.OQ,SKYW,US8308791024,Nasdaq Stock Exchange Global Select Market
SKYX.OQ,SKYX,US78471E1055,NASDAQ Stock Exchange Capital Market
SLAB.OQ,SLAB,US8269191024,Nasdaq Stock Exchange Global Select Market
SLB.II,SLB,,
SLB.N,SLB,AN8068571086,New York Stock Exchange
SLCAN.BCU,SLCAN,US90346E1038,BATS Europe
SLDB.OQ,SLDB,US83422E2046,Nasdaq Stock Exchange Global Select Market
SLDE.OQ,SLDE,US8313491057,Nasdaq Stock Exchange Global Select Market
SLDP.OQ,SLDP,US83422N1054,Nasdaq Stock Exchange Global Select Market
SLFI.OQ,SLFI,,
SLG.N,SLG,US78440X8873,New York Stock Exchange
SLGN.N,SLGN,US8270481091,New York Stock Exchange
SLH.N,SLH,,
SLM.II,SLM,US78490FBE88,
SLM.OQ,SLM,US78442P1066,Nasdaq Stock Exchange Global Select Market
SLND.A,SLND,US84445C1009,American Stock Exchange
SLNO.OQ,SLNO,US8342033094,NASDAQ Stock Exchange Capital Market
SLP.OQ,SLP,US8292141053,Nasdaq Stock Exchange Global Select Market
SLQT.N,SLQT,US8163073005,New York Stock Exchange
SLRC.OQ,SLRC,US83413U1007,Nasdaq Stock Exchange Global Select Market
SLS.OQ,SLS,US81642T2096,NASDAQ Stock Exchange Capital Market
SLSN.OQ,SLSN,US6300791018,NASDAQ Stock Exchange Capital Market
SLVM.N,SLVM,US8713321029,New York Stock Exchange
SLXP.O,SLXP,,
SM.N,SM,US78454L1008,New York Stock Exchange
SMA.N,SMA,US83192D4025,New York Stock Exchange
SMBC.OQ,SMBC,US8433801060,NASDAQ Stock Exchange Global Market
SMBI.OQ,SMBI,,
SMBK.N,SMBK,US83190L2088,New York Stock Exchange
SMC.N,SMC,US86614G1013,New York Stock Exchange
SMCI.OQ,SMCI,US86800U3023,Nasdaq Stock Exchange Global Select Market
SMDI.O,SMDI,,
SMG.N,SMG,US8101861065,New York Stock Exchange
SMHG.O,SMHG,,
SMHI.N,SMHI,US78413P1012,New York Stock Exchange
SMID.OQ,SMID,US8321561032,NASDAQ Stock Exchange Capital Market
SMMT.OQ,SMMT,US86627T1088,NASDAQ Stock Exchange Global Market
SMMXDE.INS,SMMXDE,,
SMP.N,SMP,US8536661056,New York Stock Exchange
SMPL.OQ,SMPL,US82900L1026,NASDAQ Stock Exchange Capital Market
SMR.N,SMR,US67079K1007,New York Stock Exchange
SMRT.OQ,SMRT,,
SMSI.OQ,SMSI,US8321544053,NASDAQ Stock Exchange Capital Market
SMTC.OQ,SMTC,US8168501018,Nasdaq Stock Exchange Global Select Market
SMTI.OQ,SMTI,US79957L1008,NASDAQ Stock Exchange Capital Market
SMTL.O,SMTL,,
SN.N,SN,KYG8068L1086,New York Stock Exchange
SNA.II,SNA,,
SNA.N,SNA,US8330341012,New York Stock Exchange
SNBC.OQ,SNBC,,
SNBR.OQ,SNBR,US83125X1037,Nasdaq Stock Exchange Global Select Market
SNC.OQ,SNC,,
SNCI.O,SNCI,,
SNCY.OQ,SNCY,US8666831057,Nasdaq Stock Exchange Global Select Market
SND.OQ,SND,US83191H1077,Nasdaq Stock Exchange Global Select Market
SNDA.N,SNDA,US1404752032,New York Stock Exchange
SNDK.OQ,SNDK,US80004C2008,Nasdaq Stock Exchange Global Select Market
SNDK.O^E16,SNDK,,
SNDR.N,SNDR,US80689H1023,New York Stock Exchange
SNDX.OQ,SNDX,US87164F1057,Nasdaq Stock Exchange Global Select Market
SNEX.OQ,SNEX,US8618961085,Nasdaq Stock Exchange Global Select Market
SNFCA.OQ,SNFCA,US8147853092,NASDAQ Stock Exchange Global Market
SNI.O^C18,SNI,US8110651010,Consolidated Issue Listed on Nasdaq Global Select Market
SNIC.OQ,SNIC,,
SNMX.O,SNMX,,
SNMX.OQ,SNMX,,
SNNAQ.PK,SNNAQ,US82622H1086,USA Pink Sheets
SNOW.N,SNOW,US8334451098,New York Stock Exchange
SNPS.OQ,SNPS,US8716071076,Nasdaq Stock Exchange Global Select Market
SNS.B,SNS,,
SNSE.OQ,SNSE,US81728A2078,NASDAQ Stock Exchange Capital Market
SNWL.O,SNWL,,
SNWV.OQ,SNWV,US80303D3052,NASDAQ Stock Exchange Global Market
SNX.N,SNX,US87162W1009,New York Stock Exchange
SO.N,SO,US8425871071,New York Stock Exchange
SOC.N,SOC,US78574H1041,New York Stock Exchange
SOHUF.INS,SOHUF,,
SOLV.N,SOLV,US83444M1018,New York Stock Exchange
SON.N,SON,US8354951027,New York Stock Exchange
SONC.P,SONC,,NYSE Arca when trading NASDAQ Global Market
SONM.OQ,SONM,US83548F4081,NASDAQ Stock Exchange Capital Market
SONO.OQ,SONO,US83570H1086,Nasdaq Stock Exchange Global Select Market
SONSDE.INS,SONSDE,,
SORC.OQ,SORC,,
SOUN.OQ,SOUN,US8361001071,NASDAQ Stock Exchange Global Market
SOV.II,SOV,,
SOY.TO,SOY,CA8676EP1086,The Toronto Stock Exchange
SPB.N,SPB,US84790A1051,New York Stock Exchange
SPC.B,CUSD,US89834G7786,Boston SE when trading NASDAQ Global Market
SPFI.OQ,SPFI,US83946P1075,Nasdaq Stock Exchange Global Select Market
SPG.II,SPG,,
SPG.N,SPG,US8288061091,New York Stock Exchange
SPGI.N,SPGI,US78409V1044,New York Stock Exchange
SPHR.N,SPHR,US55826T1025,New York Stock Exchange
SPIR.N,SPIR,US8485603067,New York Stock Exchange
SPLK.MX,SPLK*,US8486371045,Bolsa Mexicana de Valores S.A. de C.V.
SPLS.O^I17,SPLS,US8550301027,Consolidated Issue Listed on Nasdaq Global Select Market
SPNC.O,SPNC,,
SPNC.OQ,SPNC,,
SPNT.N,SPNT,BMG8192H1060,New York Stock Exchange
SPOK.OQ,SPOK,US84863T1060,Nasdaq Stock Exchange Global Select Market
SPOT.N,SPOT,LU1778762911,New York Stock Exchange
SPPIN.BCU,SPPIN,US84763A1088,BATS Europe
SPRO.OQ,SPRO,US84833T1034,Nasdaq Stock Exchange Global Select Market
SPRY.OQ,SPRY,US82835W1080,NASDAQ Stock Exchange Global Market
SPSC.OQ,SPSC,US78463M1071,Nasdaq Stock Exchange Global Select Market
SPSN.OQ,SPSN,,
SPSS.OQ,SPSS,,
SPSX.OQ,SPSX,,
SPT.OQ,SPT,US85209W1099,NASDAQ Stock Exchange Capital Market
SPWH.OQ,SPWH,US84920Y1064,Nasdaq Stock Exchange Global Select Market
SPWR.OQ,SPWR,US20460L1044,NASDAQ Stock Exchange Global Market
SPWRN.BCU,SPWRN,US8676524064,BATS Europe
SPXC.N,SPXC,US78473E1038,New York Stock Exchange
SQAA.C,SQAA,,
SQI.OQ,SQI,,
SQNM.OQ,SQNM,,
SQZB.PK,SQZB,US78472W1045,USA Pink Sheets
SR.N,SR,US84857L1017,New York Stock Exchange
SRBK.OQ,SRBK,US85227J1060,NASDAQ Stock Exchange Capital Market
SRCE.OQ,SRCE,US3369011032,Nasdaq Stock Exchange Global Select Market
SRE.II,SRE,,
SRE.N,SRE,US8168511090,New York Stock Exchange
SRG.N,SRG,US81752R1005,New York Stock Exchange
SRI.N,SRI,US86183P1021,New York Stock Exchange
SRNE.PK,SRNE,US83587F2020,USA Pink Sheets
SRPT.OQ,SRPT,US8036071004,Nasdaq Stock Exchange Global Select Market
SRR.B,SRR,,
SRRK.OQ,SRRK,US80706P1030,Nasdaq Stock Exchange Global Select Market
SRRR.OQ,SRRR,,
SRTA.OQ,SRTA,US0926671043,NASDAQ Stock Exchange Capital Market
SRVY.O,SRVY,,
SRX.C,SRX,,
SRX^G11,SRX,US78464R1059,New York Consolidated
SRZ.B,SRZ,,
SSB.N,SSB,US84472E1029,New York Stock Exchange
SSD.N,SSD,US8290731053,New York Stock Exchange
SSE.N,SSE,,
SSI.N,SSI,,
SSI.PH,SSI,,
SSNC.OQ,SSNC,US78467J1007,Nasdaq Stock Exchange Global Select Market
SSP.OQ,SSP,US8110544025,Nasdaq Stock Exchange Global Select Market
SSRM.OQ,SSRM,CA7847301032,Nasdaq Stock Exchange Global Select Market
SSTI.OQ,SSTI,US82536T1079,NASDAQ Stock Exchange Capital Market
SSTIDE.INS,SSTIDE,,
SSTK.N,SSTK,US8256901005,New York Stock Exchange
SSYS.OQ,SSYS,IL0011267213,Nasdaq Stock Exchange Global Select Market
ST.N,ST,GB00BFMBMT84,New York Stock Exchange
ST4TG.TBEA,ST4TG,US85917W1027,Tradeweb APA/SINT/XOFF/Others (EU)
STAA.OQ,STAA,US8523123052,NASDAQ Stock Exchange Global Market
STAG.N,STAG,US85254J1025,New York Stock Exchange
STBA.OQ,STBA,US7838591011,Nasdaq Stock Exchange Global Select Market
STC.N,STC,US8603721015,New York Stock Exchange
STE.N,STE,IE00BFY8C754,New York Stock Exchange
STEDE.INS,STEDE,,
STEL.N,STEL,US8589271068,New York Stock Exchange
STEL.OQ,STEL,,
STEM.N,STEM,US85859N3008,New York Stock Exchange
STEP.O,STEP,US85914M1071,Consolidated Issue Listed on Nasdaq Global Select Market
STGW.OQ,STGW,US85256A1097,Nasdaq Stock Exchange Global Select Market
STI.II,STI,,
STIM.OQ,STIM,US64131A1051,NASDAQ Stock Exchange Global Market
STJ.II,STJ,,
STJ^A17,STJ^A17,US7908491035,New York Consolidated
STKS.OQ,STKS,US88338K1034,NASDAQ Stock Exchange Capital Market
STLD.OQ,STLD,US8581191009,Nasdaq Stock Exchange Global Select Market
STML.OQ,STML,,
STNE.OQ,STNE,KYG851581069,Nasdaq Stock Exchange Global Select Market
STNG.N,STNG,MHY7542C1306,New York Stock Exchange
STNR.OQ,STNR,,
STOK.OQ,STOK,US86150R1077,Nasdaq Stock Exchange Global Select Market
STR.II,STR,,
STR.N,STR,US82983N1081,New York Stock Exchange
STRA.OQ,STRA,US86272C1036,Nasdaq Stock Exchange Global Select Market
STRI.N,STRI,,
STRL.OQ,STRL,US8592411016,Nasdaq Stock Exchange Global Select Market
STRO.OQ,STRO,US8693672011,NASDAQ Stock Exchange Global Market
STRP.A,STRP,,
STRS.OQ,STRS,US8631672016,Nasdaq Stock Exchange Global Select Market
STRT.OQ,STRT,US8631111007,NASDAQ Stock Exchange Global Market
STRW.A,STRW,US8631821019,American Stock Exchange
STS.A,STS,,
STSA.OQ,STSA,,
STST.OQ,STST,,
STT.II,STT,,
STT.N,STT,US8574771031,New York Stock Exchange
STTK.OQ,STTK,US82024L1035,Nasdaq Stock Exchange Global Select Market
STWD.N,STWD,US85571B1052,New York Stock Exchange
STX.OQ,STX,IE00BKVD2N49,Nasdaq Stock Exchange Global Select Market
STXS.A,STXS,US85916J4094,American Stock Exchange
STZ.II,STZ,,
STZ.N,STZ,US21036P1084,New York Stock Exchange
SU6F.TRE,SU6F,US8688731004,London Stock Exchange
SUF.II,SUF,,
SUG^C12,SUG,US8440301062,New York Consolidated
SUI.N,SUI,US8666741041,New York Stock Exchange
SUM.CN,SUM,US86614U1007,Bolsa de Valores de Colombia
SUN.II,SUN,,
SUN.N,SUN,US86765K1097,New York Stock Exchange
SUNE.N^D16,SUNE,US86732Y1091,New York Stock Exchange
SUNS.OQ,SUNS,US8679811021,NASDAQ Stock Exchange Capital Market
SUNW.OQ,SUNW,,
SUPG.O,SUPG,,
SUPN.OQ,SUPN,US8684591089,NASDAQ Stock Exchange Global Market
SUR.C,SUR,,
SURFN.BCU,SURFN,US86877M2098,BATS Europe
SURW.O,SURW,,
SUUF.TRE,SUUF,US8679141031,
SV4F.TPRM,SV4F,US78486Q1013,TPICAP
SV7SG.ICEM,SV7SG,US78781P1057,TPICAP
SVC.OQ,SVC,US81761L1026,Nasdaq Stock Exchange Global Select Market
SVCO.OQ,SVCO,US82728C1027,Nasdaq Stock Exchange Global Select Market
SVN.B,SVN,,
SVR.C,SVR,CA46434E1161,
SVRA.OQ,SVRA,US8051111016,Nasdaq Stock Exchange Global Select Market
SVU.II,SVU,,
SVV.N,SVV,US80517M1099,New York Stock Exchange
SWBI.OQ,SWBI,US8317541063,Nasdaq Stock Exchange Global Select Market
SWC.N,SWC,,
SWCDE.INS,SWCDE,,
SWFT.N,SWFT,,
SWIM.OQ,SWIM,US51819L1070,Nasdaq Stock Exchange Global Select Market
SWI^B16,SWI,US83416B1098,New York Consolidated
SWK.II,SWK,,
SWK.N,SWK,US8545021011,New York Stock Exchange
SWKH.OQ,SWKH,US78501P2039,NASDAQ Stock Exchange Global Market
SWKS.OQ,SWKS,US83088M1027,Nasdaq Stock Exchange Global Select Market
SWNN.BCU,SWNN,US8454671095,BATS Europe
SWS.C,SWS,,
SWSI.OQ,SWSI,,
SWX.N,SWX,US8448951025,New York Stock Exchange
SWY.II,SWY,,
SWY.N,SWY,,
SXC.N,SXC,US86722A1034,New York Stock Exchange
SXE.PH,SXE,,
SXI.N,SXI,US8542311076,New York Stock Exchange
SXT.N,SXT,US81725T1007,New York Stock Exchange
SY9F.TPRM,SY9F,US8589121081,TPICAP
SYA.N,SYA,,
SYBSDE.INS,SYBSDE,,
SYBT.OQ,SYBT,US8610251048,Nasdaq Stock Exchange Global Select Market
SYK.II,SYK,,
SYK.N,SYK,US8636671013,New York Stock Exchange
SYM.B,SYM,US87151X1019,Boston SE when trading NASDAQ Global Market
SYMM.O,SYMM,,
SYNA.OQ,SYNA,US87157D1090,Nasdaq Stock Exchange Global Select Market
SYNHN.BCU,SYNHN,US87166B1026,BATS Europe
SYPR.OQ,SYPR,US8716551069,NASDAQ Stock Exchange Global Market
SYRE.OQ,SYRE,US00773J2024,Nasdaq Stock Exchange Global Select Market
SYUT.OQ,SYUT,,
SYY.N,SYY,US8718291078,New York Stock Exchange
SZMK.OQ,SZMK,,
T.N,T,US00206R1023,New York Stock Exchange
T4HF.TRE,T4HF,US89469A1043,London Stock Exchange
TALK.OQ,TALK,US87427V1035,NASDAQ Stock Exchange Capital Market
TALO.N,TALO,US87484T1088,New York Stock Exchange
TAP.II,TAP,,
TAP.N,TAP,US60871R2094,New York Stock Exchange
TARA.OQ,TARA,US74365U1079,NASDAQ Stock Exchange Global Market
TARR.OQ,TARR,,
TARS.OQ,TARS,US87650L1035,Nasdaq Stock Exchange Global Select Market
TASRDE.INS,TASRDE,,
TAYC.OQ,TAYC,,
TBBK.OQ,TBBK,US05969A1051,Nasdaq Stock Exchange Global Select Market
TBCH.OQ,TBCH,US9004502061,NASDAQ Stock Exchange Global Market
TBHC.O,TBHC,US4974981056,Consolidated Issue Listed on Nasdaq Global Select Market
TBI.N,TBI,US89785X1019,New York Stock Exchange
TBL^I11,TBL,US8871001058,New York Consolidated
TBPH.OQ,TBPH,KYG8807B1068,NASDAQ Stock Exchange Global Market
TBRA.OQ,TBRA,,
