ric,ticker,isin,exchange_name,tracking_status,price_ingest_enabled,pit_fundamentals_enabled,pit_classification_enabled,allow_cuse_native_core,allow_cuse_fundamental_projection,allow_cuse_returns_projection,allow_cpar_core_target,allow_cpar_extended_target
ALNY.OQ,ALNY,US02043Q1076,Nasdaq Stock Exchange Global Select Market,active,1,1,1,1,0,0,1,1
ALOADE.INS,ALOADE,,,active,1,1,1,1,0,0,1,1
ALOT.OQ,ALOT,US04638F1084,NASDAQ Stock Exchange Global Market,active,1,1,1,1,0,0,1,1
ALRM.OQ,ALRM,US0116421050,Nasdaq Stock Exchange Global Select Market,active,1,1,1,1,0,0,1,1
ALRS.OQ,ALRS,US01446U1034,NASDAQ Stock Exchange Capital Market,active,1,1,1,1,0,0,1,1
ALSXP.CJ,ALSX,US5312297899,Costa Rica Exchange,active,1,1,1,1,0,0,1,1
ALT.OQ,ALT,US02155H2004,NASDAQ Stock Exchange Global Market,active,1,1,1,1,0,0,1,1
ALTE.OQ,ALTE,,,active,1,1,1,1,0,0,1,1
ALTG.N,ALTG,US02128L1061,New York Stock Exchange,active,1,1,1,1,0,0,1,1
ALTI.OQ,ALTI,US02157E1064,NASDAQ Stock Exchange Capital Market,active,1,1,1,1,0,0,1,1
ALTO.OQ,ALTO,US0215131063,NASDAQ Stock Exchange Capital Market,active,1,1,1,1,0,0,1,1
ALTR.OQ,ALTR,US0213691035,,active,1,1,1,1,0,0,1,1
ALTRN.BCU,ALTRN,US0213691035,BATS Europe,active,1,1,1,1,0,0,1,1
ALTU.O,ALTU,US02156Y1038,Consolidated Issue listed on NASDAQ Capital Market,active,1,1,1,1,0,0,1,1
ALV.N,ALV,US0528001094,New York Stock Exchange,active,1,1,1,1,0,0,1,1
ALX.N,ALX,US0147521092,New York Stock Exchange,active,1,1,1,1,0,0,1,1
ALXN.O^G21,ALXN,US0153511094,Consolidated Issue Listed on Nasdaq Global Select Market,active,1,1,1,1,0,0,1,1
ALXO.OQ,ALXO,US00166B1052,Nasdaq Stock Exchange Global Select Market,active,1,1,1,1,0,0,1,1
AM.N,AM,US03676B1026,New York Stock Exchange,active,1,1,1,1,0,0,1,1
AMAL.OQ,AMAL,US0226711010,NASDAQ Stock Exchange Global Market,active,1,1,1,1,0,0,1,1
AMAT.OQ,AMAT,US0382221051,Nasdaq Stock Exchange Global Select Market,active,1,1,1,1,0,0,1,1
AMBA.OQ,AMBA,KYG037AX1015,Nasdaq Stock Exchange Global Select Market,active,1,1,1,1,0,0,1,1
AMBP.N,AMBP,LU2369833749,New York Stock Exchange,active,1,1,1,1,0,0,1,1
AMBQ.N,AMBQ,US0231931058,New York Stock Exchange,active,1,1,1,1,0,0,1,1
AMBT.OQ,AMBT,,,active,1,1,1,1,0,0,1,1
AMC.N,AMC,US00165C3025,New York Stock Exchange,active,1,1,1,1,0,0,1,1
AMCC.II,AMCC,,,active,1,1,1,1,0,0,1,1
AMCR.N,AMCR,JE00BV7DQ550,New York Stock Exchange,active,1,1,1,1,0,0,1,1
AMCX.OQ,AMCX,US00164V1035,Nasdaq Stock Exchange Global Select Market,active,1,1,1,1,0,0,1,1
AMD.OQ,AMD,US0079031078,Nasdaq Stock Exchange Global Select Market,active,1,1,1,1,0,0,1,1
AME.N,AME,US0311001004,New York Stock Exchange,active,1,1,1,1,0,0,1,1
AMED.MX,AMED*,US0234361089,Bolsa Mexicana de Valores S.A. de C.V.,active,1,1,1,1,0,0,1,1
AMFI.OQ,AMFI,,,active,1,1,1,1,0,0,1,1
AMG.N,AMG,US0082521081,New York Stock Exchange,active,1,1,1,1,0,0,1,1
AMGN.OQ,AMGN,US0311621009,Nasdaq Stock Exchange Global Select Market,active,1,1,1,1,0,0,1,1
AMH.N,AMH,US02665T3068,New York Stock Exchange,active,1,1,1,1,0,0,1,1
AMIE.OQ,AMIE,,,active,1,1,1,1,0,0,1,1
AMIS.P,AMIS,,,active,1,1,1,1,0,0,1,1
AMKR.OQ,AMKR,US0316521006,Nasdaq Stock Exchange Global Select Market,active,1,1,1,1,0,0,1,1
AMKRDE.INS,AMKRDE,,,active,1,1,1,1,0,0,1,1
AMLN.O^H12,AMLN,US0323461089,Consolidated Issue Listed on Nasdaq Global Select Market,active,1,1,1,1,0,0,1,1
AMLX.OQ,AMLX,US03237H1014,Nasdaq Stock Exchange Global Select Market,active,1,1,1,1,0,0,1,1
AMN.N,AMN,US0017441017,New York Stock Exchange,active,1,1,1,1,0,0,1,1
AMP.II,AMP,,,active,1,1,1,1,0,0,1,1
